,2005-09-13 18:15:00+00:00
agency_cd,USGS
site_no,390226104134801
sample_dt,2005-09-13
sample_tm,12:15
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,"L-2580011 verififed ST program/project code on ASR without NAWQA proposal, paa, 9/15/05"
p00010,16.9
p00025,595
p00028,80020
p00090,17.2
p00095,296
p00191,M  
p00300,1.0
p00301,13
p00400,9.0
p00403,8.8
p00405,0.3
p00452,3
p00453,154
p00607,< 0.03 
p00608,0.23
p00613,E 0.006 n
p00618,< 0.054 
p00631,< 0.06 
p00660,0.126
p00671,0.041
p00681,0.71
p00900,4.36
p00915,1.43
p00925,0.186
p00930,63.4
p00931,13.3
p00932,96
p00935,0.53
p00940,1.51
p00945,15.9
p00950,0.54
p00955,14.3
p01000,< 0.12 oc
p01005,12.1
p01010,< 0.060 
p01020,47
p01025,< 0.040 
p01030, 0.18 oc
p01035,E 0.007 n
p01040,< 0.4 
p01046,24.5
p01049,< 0.080 
p01056,10.6
p01057,< 0.040 
p01060,2.25
p01065,0.11
p01075,< 0.200 
p01080,22.0
p01085,< 0.10 oc
p01090,5.6
p01095,< 0.200 
p01106,E 1.4 n
p01130,5.63
p01145,< 0.08 oc
p07000,0.0
p22703,< 0.040 
p39086,132
p49933,13.38
p49934,0.07
p50280,2001
p62854,0.26
p63676,0.6
p70300,185
p70301,E 177 
p70303,0.25
p71846,0.296
p71851,< 0.239 
p71856,E 0.020 
p71870, 0.047 @
p71999,15.0
p72004,40
p75985,1.0
p82081,-5.92
p82082,-92.5
p82085,-12.46
p90095,299
p99111,1
