,2005-09-08 18:30:00+00:00
agency_cd,USGS
site_no,394134104305701
sample_dt,2005-09-08
sample_tm,12:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,865300329
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,"L-2510193 verified no NAWQA proposal provided on ASR,ST NAWQA program project code is on ASR, paa, 9/8/05"
p00010,21.0
p00025,621
p00028,80020
p00090,67.8
p00095,340
p00191,M  
p00300,0.3
p00301,4
p00400,9.3
p00403,8.4
p00405,0.1
p00452,2
p00453,170
p00607,< 0.03 
p00608,0.29
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,E 0.009 
p00671,E 0.003 n
p00681,< 0.33 
p00900,19.0
p00915,6.69
p00925,0.487
p00930,66.4
p00931,6.69
p00932,87
p00935,1.66
p00940,1.78
p00945,23.7
p00950,2.29
p00955,13.3
p01000,< 0.2 
p01005,70.7
p01010,< 0.060 
p01020,57
p01025,< 0.040 
p01030,< 0.04 oc
p01035,E 0.010 n
p01040,< 0.4 
p01046,< 6.0 
p01049,0.266
p01056,5.24
p01057,< 0.040 
p01060,2.42
p01065,0.18
p01075,< 0.200 
p01080,170
p01085,0.2
p01090,1.2
p01095,< 0.200 
p01106,1.8
p01130,15.5
p01145,< 0.4 
p07000,1.0
p22703,< 0.040 
p30210,121
p39086,143
p49933,0.43
p49934,0.05
p50280,2001
p62854,0.32
p63676,0.5
p70300,221
p70301,E 203 
p70303,0.3
p71846,0.377
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.044 @
p71999,15.0
p72004,40
p72019,395.54
p75985,1.0
p82081,-10.6
p82082,-99.7
p82085,-13.42
p90095,337
p99111,1
