,2005-07-12 19:30:00+00:00
agency_cd,USGS
site_no,395253105045701
sample_dt,2005-07-12
sample_tm,13:30
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,85829BI10
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,"A-1940031 VOC: 6 drops HCL added  Actual time of Radon Sample:  14:33 L-1940031 Field Value for Lab Code 2 is unclear, 427??    CH"
p00010,16.6
p00020,31.3
p00025,633
p00028,80020
p00090,96.0
p00095,2640
p00191,1e-05
p00300,0.1
p00301,0.0
p00400,7.9
p00403,7.8
p00405,11
p00453,516
p00607,< 0.07 
p00608,0.9
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.055
p00671,0.018
p00681,4.39
p00900,36.2
p00915, 10.5 d
p00925, 2.38 d
p00930, 349 d
p00931,25.3
p00932,95
p00935, 2.70 d
p00940, 231 d
p00945,< 0.90 d
p00950,2.15
p00955, 8.99 d
p01000,E 0.1 n
p01005,163
p01010,< 0.060 
p01020,438
p01025,< 0.040 
p01030,< 0.8 
p01035,0.076
p01040,< 0.4 
p01046, 23.2 d
p01049,< 0.080 
p01056,4.0
p01057,0.09
p01060,0.69
p01065,0.8
p01075,< 0.200 
p01080,172
p01085,1.4
p01090,2.0
p01095,< 0.200 
p01106,E 1.2 n
p01130,59.2
p01145,E 0.3 n
p04022,< 0.010 
p04025,< 0.013 
p04035,< 0.008 
p04036,< 0.005 
p04037,< 0.010 
p04040,< 0.006 mc
p04041,< 0.018 
p04095,< 0.0030 
p22703,0.045
p30210,61.0
p30217,< 0.050 b
p32101,< 0.028 b
p32102,< 0.06 b
p32103,< 0.13 
p32104,< 0.10 
p32105,< 0.10 
p32106,< 0.02 b
p34010,< 0.02 b
p34030,< 0.021 b
p34215,< 0.80 
p34301,< 0.028 b
p34311,< 0.12 
p34362,< 0.005 
p34371,< 0.030 b
p34396,< 0.14 
p34413,< 0.3 mc
p34418,< 0.2 mc
p34423,< 0.06 b
p34475,< 0.030 b
p34488,< 0.08 b
p34496,< 0.035 b
p34501,< 0.024 b
p34506,< 0.032 b
p34511,< 0.040 b
p34516,< 0.08 b
p34536,< 0.048 b
p34541,< 0.0290 b
p34546,< 0.032 b
p34551,< 0.12 
p34566,< 0.030 b
p34571,< 0.034 b
p34668,< 0.18 mc
p34696,< 0.52 
p34699,< 0.09 b
p34704,< 0.05 b
p38454,< 0.08 mc
p38775,< 0.01 mc
p38933,< 0.0050 
p39086,427
p39175,< 0.08 b
p39180,< 0.038 b
p39381,< 0.009 
p39415,< 0.006 
p39532,< 0.027 
p39572,< 0.0050 
p39632,< 0.007 
p39702,< 0.14 
p46342,< 0.005 
p49260,< 0.006 
p49295,< 0.0882 mc
p49991,< 1.0 
p49999,< 0.14 
p50000,< 0.140 
p50002,< 0.10 
p50004,< 0.030 b
p50005,< 0.04 b
p50280,2001
p61585,< 0.027 mc
p61586,< 0.009 mc
p61590,< 0.014 
p61591,< 0.029 
p61593,< 0.538 mc
p61594,< 0.003 
p61595,< 0.009 mc
p61596,< 0.005 
p61598,< 0.006 
p61599,< 0.008 
p61600,< 0.007 
p61606,< 0.008 mc
p61610,< 0.004 mc
p61618,< 0.005 
p61620,< 0.005 mc
p61625,< 0.0045 mc
p61627,< 0.004 
p61633,< 0.0056 mc
p61635,< 0.070 mc
p61636,< 0.06 mc
p61640,< 0.006 
p61644,< 0.002 mc
p61645,< 0.049 
p61646,< 0.04 mc
p61652,< 0.030 
p61664,< 0.030 mc
p61666,< 0.105 mc
p61674,< 0.068 
p62166,< 0.016 
p62167,< 0.013 
p62168,< 0.024 
p62169,< 0.029 
p62170,< 0.012 
p62854,0.97
p63676,5.3
p70300,876
p70301,< 864 
p70303,1.19
p71846,1.15
p71851,< 0.266 
p71856,< 0.026 
p71870, 1.22 @d
p71999,15.0
p72004,30
p72015,260.0
p72016,400.0
p72019,200.0
p73547,< 0.7 b
p73570,< 0.18 
p76002,15
p77041,M  n
p77093,< 0.024 b
p77103,< 0.4 b
p77128,< 0.042 b
p77135,< 0.038 b
p77168,< 0.026 b
p77170,< 0.05 b
p77173,< 0.06 b
p77220,< 0.060 b
p77221,< 0.060 b
p77222,< 0.056 b
p77223,< 0.038 b
p77224,< 0.042 b
p77226,< 0.044 b
p77275,< 0.040 b
p77277,< 0.050 b
p77297,< 0.12 
p77342,< 0.12 
p77350,< 0.060 b
p77353,< 0.060 b
p77356,< 0.08 b
p77424,< 0.50 mc
p77443,< 0.180 
p77562,< 0.030 b
p77613,< 0.18 
p77651,< 0.036 b
p77652,< 0.038 b
p78032,< 0.10 
p78109,< 0.50 mc
p78133,< 0.37 b
p79846,< 0.008 mc
p79847,< 0.013 mc
p81552,< 6.0 b
p81555,< 0.028 b
p81576,< 0.1 b
p81577,< 0.10 
p81593,< 0.40 
p81595,< 2.0 
p81597,< 0.20 b
p81607,< 1.0 
p82082,-105
p82085,-14.35
p82303,70
p82346,< 0.004 
p82625,< 0.510 
p82630,< 0.006 
p82660,< 0.0060 
p82661,< 0.009 
p82662,< 0.0061 mc
p82664,< 0.011 
p82667,< 0.015 
p82668,< 0.0040 
p82670,< 0.016 
p82671,< 0.0050 b
p82672,< 0.005 
p82673,< 0.010 
p82674,< 0.020 mc
p82675,< 0.017 
p82676,< 0.0040 
p82677,< 0.021 mc
p82679,< 0.011 
p82680,< 0.041 mc
p82681,< 0.010 
p82682,< 0.0030 
p82683,< 0.022 
p82685,< 0.023 
p82686,< 0.050 mc
p82687,< 0.006 
p85795,< 0.06 b
p90095,1530
p90867,< 0.3 
p99111,1
p99114,0.0
p99115,0.04
p99118,0.002
p99832,96.2
p99833,99.5
p99834,90.5
p99871,3
p99972,895
p99994,130
p99995,104
