,2005-12-29 18:50:00+00:00
agency_cd,USGS
site_no,391851104204501
sample_dt,2005-12-29
sample_tm,11:50
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0700
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,A
samp_type_cd,9
hyd_event_cd,9
sample_lab_cm_txt,"L-3640090 Changed station Id from 319851104204501 per dist (Flynn) 5/5/06, dm."
p00010,17.4
p00028,80020
p00090,-182
p00095,706
p00191,M  
p00300,0.0
p00400,8.4
p00403,8.5
p00405,1.5
p00452,3
p00453,255
p00607,< 0.04 
p00608,0.5
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,0.245
p00671,0.08
p00681,1.09
p00900,18.4
p00915,6.24
p00925,0.638
p00930,151
p00931,15.4
p00932,94
p00935,1.56
p00940,7.37
p00945,124
p00950,1.63
p00955,10.3
p01000,< 0.12 
p01005,78.5
p01010,0.126
p01020,61
p01025,E 0.024 n
p01030,0.04
p01035,E 0.036 noc
p01040, 1.1 oc
p01046,27.4
p01049,< 0.080 
p01056,12.5
p01057,< 0.040 
p01060,1.51
p01065, 0.16 oc
p01075,< 0.200 
p01080,120
p01085,< 0.10 
p01090, 0.9 oc
p01095,< 0.200 
p01106,2.0
p01130,10.0
p01145,< 0.08 
p07000,-0.3
p22703,< 0.040 
p30210,73.9
p39086,214
p49933,0.0
p49934,0.05
p50280,2001
p62854,0.55
p63676,0.2
p70300,459
p70301,E 432 
p70303,0.62
p71846,0.648
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.139 @c
p71999,15.0
p72004,45
p72019,242.34
p75985,0.6
p82081,-9.1
p90095,715
p99111,1
p99114,0.05
p99115,0.04
p99119,M  
