,2005-10-25 17:00:00+00:00
agency_cd,USGS
site_no,390534104465501
sample_dt,2005-10-25
sample_tm,11:00
sample_end_dt,
sample_end_tm,
sample_start_time_datum_cd,-0600
tm_datum_rlbty_cd,K
coll_ent_cd,USGS-WRD
medium_cd,WG
project_cd,8582BCF99
aqfr_cd,
tu_id,
body_part_id,
hyd_cond_cd,X
samp_type_cd,7
hyd_event_cd,X
sample_lab_cm_txt,
p00010,13.3
p00025,582
p00028,80020
p00090,118
p00095,269
p00191,1e-05
p00300,0.1
p00301,2
p00400,8.0
p00403,8.0
p00405,2.4
p00453,150
p00607,< 0.002 
p00608,0.05
p00613,< 0.008 
p00618,< 0.060 
p00631,< 0.06 
p00660,E 0.009 
p00671,E 0.003 n
p00681,< 0.33 
p00900,65.5
p00915,22.4
p00925,2.27
p00930,32.3
p00931,1.74
p00932,51
p00935,2.01
p00940,2.43
p00945,10.2
p00950,1.33
p00955,15.8
p01000,< 0.12 
p01005,13.5
p01010,< 0.060 
p01020,73
p01025,E 0.030 n
p01030,0.11
p01035,< 0.040 
p01040,< 0.40 
p01046,555
p01049,E 0.040 n
p01056,29.8
p01057,< 0.040 
p01060,2.33
p01065,E 0.03 n
p01075,< 0.200 
p01080,183
p01085,< 0.10 
p01090,38.8
p01095,< 0.200 
p01106,< 1.6 
p01130,15.8
p01145,< 0.08 
p07000,0.0
p22703,< 0.040 
p39086,124
p49933,2.42
p49934,0.06
p50280,2001
p62854,E 0.05 n
p63676,1.6
p70300,164
p70301,E 164 
p70303,0.22
p71846,0.066
p71851,< 0.266 
p71856,< 0.026 
p71870, 0.054 @
p71999,15.0
p72004,40
p75985,0.6
p82081,-10.27
p82082,-106
p82085,-14.27
p90095,263
p99111,30
p99114,0.49
p99115,0.51
p99119,M  
